Year,single cell,climate change,RT PCR,Immunotherapy,Sanger sequencing,species conservation,Stem Cell,Restriction enzyme
1960,77.52490598991285,1.7821817468945482,0,626.4368840334337,2.6732726203418227,0,33.86145319099642,0
1961,90.69728740222999,1.6641704110500914,0,625.7280745548344,0.8320852055250457,0,34.115493426526875,0
1962,89.10599635620122,0.7955892531803681,0,652.3831876079018,0,0,42.16623041855951,0.7955892531803681
1963,86.1953242569186,2.1195571538586537,0,764.4536134916879,0,1.413038102572436,39.565066872028204,0
1964,111.0357164888039,2.4674603664178645,0,972.1793843686386,0,0,42.56369132070816,0.6168650916044661
1965,105.80693346611066,0.5658124784283992,0,697.0809734237879,0.5658124784283992,1.6974374352851977,25.461561529277965,0
1966,149.29100646557703,1.6649554624413798,0,594.9440852457197,0,0.5549851541471266,20.53445070344368,0
1967,155.1485365015567,2.603163364120079,0,641.4194529191874,1.0412653456480314,2.082530691296063,35.40302175203307,0.5206326728240157
1968,165.74107880627992,3.843271392609389,0,669.2096312381099,0.9608178481523473,1.4412267722285208,39.873940698322414,0.48040892407617364
1969,207.5584715895636,1.8573465019200321,0,826.0548567289342,1.393009876440024,2.32168312740004,38.539939914840666,3.7146930038400643
1970,204.16905927283003,2.2786725365271208,0,856.3251392268919,0.45573450730542414,2.7344070438325447,51.04226481820751,2.7344070438325447
1971,225.34405207951426,2.682667286660884,0,1179.479383701902,0.8942224288869614,4.024000929991326,95.23468867646139,1.341333643330442
1972,294.3640902131617,3.0708623420150998,0,1308.6260523187204,0.8773892405757429,2.6321677217272286,125.46666140233123,8.335197785469557
1973,318.3955632270429,1.7304106697121895,0,1416.7737358268553,0.43260266742804737,3.893424006852426,142.75888025125562,9.084656015988994
1974,315.136771910724,2.5517147523135546,0,1424.7074033750682,0.42528579205225914,5.528715296679368,145.8730266739249,9.78157321720196
1975,945.667263141846,6.018247325892105,0.40121648839280694,1329.6314425337623,2.808515418749649,22.066906861604384,193.38634740533297,77.43478225981175
1976,919.103952068572,5.489528723959048,0.3921091945685034,1259.0626237594645,1.5684367782740136,22.7423332849732,192.52561453313518,102.3404997823794
1977,816.446379950731,4.194726847014499,0,1148.5924784734245,2.288032825644272,16.016229779509903,190.66940213702264,154.0608769267143
1978,835.6290511318408,4.7687347079516815,0.366825746765514,1143.7626784148727,3.3014317208896253,16.50715860444813,232.20069770257035,188.18160809070866
1979,860.0893046991282,5.67013962718832,0.35438372669927,1164.8593096605005,1.41753490679708,27.996314409242327,272.16670210503935,271.10355092494154
1980,1023.1746201392972,4.987620014606602,0,1017.1182244072747,2.1375514348314004,35.26959867471811,325.62033523931666,349.48965959493404
1981,1146.3095670319676,3.877430884794478,0,926.7059814658803,4.582418318393475,43.35672716633826,345.4438424635081,446.9620329017635
1982,1222.669929824087,3.380342631529132,0.3380342631529132,968.4681639330962,2.3662398420703923,51.71924226239572,413.41590383601283,520.5727652554863
1983,1436.4112651853575,4.5220952805475605,0,1056.5552616193622,1.6150340287669862,78.16764699232212,427.01499720599116,577.8591754928276
1984,1571.399399965443,3.141542183057663,0.31415421830576634,1087.287749556257,1.2566168732230654,91.418877526978,532.1772458099681,802.9781819895387
1985,1543.3414519990104,6.558530412203637,0.2981150187365289,1067.8479971142467,5.067955318520992,99.86853127673719,580.4299414800219,713.9854698739869
1986,1611.6952243738172,6.860710426564671,0.2858629344401946,988.7998902286331,3.4303552132823354,98.33684944742696,518.2695001400729,718.3735542482091
1987,1644.5822250357962,5.705637985420736,1.0867881876991878,1109.0673455470212,1.6301822815487819,107.32033353529481,495.03201949698007,689.0237110012852
1988,1688.6891153562985,6.974851784399582,1.2916392193332558,994.562198886607,4.6499011895997215,126.06398780692578,496.24778806783684,629.0282998152956
1989,1819.296455970792,8.686954428237069,4.715775261042981,1032.0101860745638,4.46757656309335,137.00568126819607,560.4326599702658,474.307711781744
1990,1895.0380564910163,13.869693017461215,11.679741488388391,1050.2034221642562,3.89324716279613,154.99990266882094,583.9870744194195,501.2555722100018
1991,1979.0361060970474,14.034000996898001,33.1492782168108,1076.5046626758483,5.081276223014794,157.76152844788788,619.4317681389463,518.5321402819383
1992,2106.9021434960846,14.111389086873539,84.66833452124122,1105.711046586718,2.8701130346183468,195.16768635404756,663.2352870830563,456.8263246767536
1993,2131.206569213359,15.665478896027983,161.56486443515428,1119.731021389224,3.5071967677674585,227.26635055133133,755.917810012813,460.84565528464407
