ICD10,f41202,All
C457,37,52
S229,2,2
M628,76,184
Y733,0,5
T294,1,1
M2157,52,85
C620,2,3
R251,94,366
M4192,2,12
M420,1,7
M8405,22,28
Y468,0,5
S8291,5,9
W909,0,11
D890,10,22
C462,0,1
X022,0,1
T981,0,43
S060,57,81
J91,19,299
M1194,1,1
M7646,2,2
S397,2,2
H812,92,108
N839,92,148
C717,9,12
M6549,3,5
K122,142,188
I618,57,66
Z508,53,731
O061,1,1
C58,2,14
R509,1490,4684
V283,0,9
W1781,0,2
T006,2,15
M4046,3,5
K143,12,16
W803,0,1
M169,8385,9536
B24,61,163
A318,4,8
C151,7,10
J991,2,82
X9958,0,1
M6647,25,32
V344,0,1
M1398,16,300
Z091,33,36
M8494,2,2
Y142,0,1
O224,15,36
D898,9,14
S655,9,68
W557,0,15
N301,270,313
Y881,0,16
F349,0,6
D644,1,1
C181,82,132
M0840,2,3
D011,0,12
M2300,1,2
H161,8,22
Z137,11,17
F609,62,202
D578,1,11
L948,10,17
J382,129,154
G373,78,93
G369,3,4
I982,46,325
R798,3442,7191
L272,18,25
F252,13,15
N007,0,4
B870,1,1
M2412,2,4
M4139,0,1
M430,14,70
H358,599,1047
Z749,0,29
Z562,0,3
M8508,7,8
S5260,679,730
M5489,18,42
M4714,9,9
W178,0,185
D213,12,16
M770,98,116
M752,44,208
Y364,0,1
L909,8,13
J853,2,5
N909,149,202
Z822,1,21
W099,0,14
N004,0,1
T508,12,18
D297,0,1
W644,0,2
N320,1808,2353
M060,71,196
T476,2,9
W8542,0,1
C031,21,40
M800,0,12
M4381,1,2
Y548,0,28
M480,367,813
C720,17,28
C903,19,27
N151,26,34
R05,1486,3661
X504,0,61
N882,204,825
M2178,1,1
T859,82,99
L652,1,1
N390,8569,15113
I070,1,4
M2443,6,9
I709,28,82
K514,131,243
L432,6,6
D133,20,34
Z942,1,38
Y86,0,1165
M8503,0,8
K560,23,138
R740,10,42
F145,0,1
W081,0,2
M4392,0,3
M0016,1,1
Z551,0,5
F069,10,27
T270,2,2
F079,3,8
R462,23,62
W498,0,9
J173,0,42
X549,0,3
X647,0,1
M2427,76,105
R071,219,280
D020,48,80
A044,18,32
M1990,127,770
Z527,0,1
K750,148,212
F446,1,2
X209,0,3
N831,137,621
X496,0,18
F430,102,140
S557,2,2
Z848,5,106
M4324,1,2
X689,0,64
B207,2,3
J81,126,621
M5387,2,3
X961,0,2
J311,14,24
W0153,0,1
I724,134,201
X218,0,1
S998,12,26
M4303,0,2
W299,0,274
Q875,0,2
W4459,0,1
T853,170,183
D62,13,326
T650,2,2
M8120,1,52
S136,26,43
M8485,1,3
T659,15,27
C511,1,12
T198,2,3
Z010,6,10
H108,5,9
G128,0,4
M8406,31,41
M8093,2,4
N982,1,1
M8397,0,2
D367,168,198
M9487,7,14
M7967,530,677
W2800,0,1
F447,2,2
Z918,1,73
M7014,2,2
H750,0,1
Z242,0,3
M912,0,6
T788,16,24
D465,5,10
Y010,0,3
E762,1,5
M7996,51,60
Z896,0,137
X760,0,5
I871,75,152
C969,4,34
M138,16,57
S829,8,9
C158,7,15
B221,1,2
M175,63,88
M8168,1,2
Y96,0,2
D849,17,45
G038,3,7
D034,47,85
M2571,15,192
S5281,6,8
D684,5,15
N026,2,2
I158,0,11
M9950,0,14
S850,0,4
C950,13,21
K711,12,19
F309,55,87
R682,15,28
Y561,0,3
N849,35,50
Z002,1,1
N649,186,203
Y870,0,17
W118,0,56
N750,397,437
M6090,9,10
E133,6,14
C765,7,11
B658,1,2
C254,13,18
Q231,45,209
K359,1777,1811
C774,99,232
G543,2,3
X624,0,1
N359,2959,4000
G442,329,401
R874,1,2
D750,31,37
M6633,3,8
X619,0,1011
B91,1,158
M8892,0,2
H264,1379,1432
D77,0,2
D140,190,211
S2600,1,1
G810,1,11
T022,2,3
T0200,0,2
W709,0,1
H731,12,15
Y588,0,2
N168,0,3
B582,1,2
M7989,144,242
I773,8,13
Y461,0,1
S834,20,48
N604,219,315
M7102,2,2
R456,0,33
I427,6,20
G07,0,6
K010,79,105
G14,3,17
S240,0,1
M0630,14,18
C792,112,232
M7142,1,1
E210,338,570
Z289,0,1
E048,7,9
W168,0,5
N019,2,7
L029,94,115
O268,1524,1715
M4026,10,24
M464,24,36
D139,16,20
K921,1942,3271
M6299,15,18
J869,222,350
I898,62,122
M0602,5,6
M8990,4,10
R488,0,6
E840,7,11
Z923,0,3755
X020,0,10
K083,1705,1996
S599,25,57
M4804,12,39
T809,3,21
C921,160,200
E851,1,2
M9079,0,4
B342,0,2
M8987,60,101
M143,0,1
K073,225,275
C959,11,45
Y534,0,34
B009,18,94
T151,7,12
M6294,1,2
S559,1,4
T844,151,179
Z011,10,12
V394,0,1
W7999,0,1
M2105,3,6
M8693,2,3
M4302,19,110
V100,0,4
M4386,4,11
H501,386,442
M4036,1,1
M818,1,11
F059,156,597
A041,2,2
T658,9,10
S351,0,3
N037,1,2
N361,30,42
J985,35,61
Z541,0,5
L290,187,382
N86,490,1123
E113,351,1426
Y782,0,1
S352,4,9
G061,37,59
I611,90,102
A528,1,2
M2173,10,12
M4957,1,2
F420,16,27
F332,126,149
L033,263,689
W2308,0,1
D561,8,64
M2538,1,2
G259,21,39
F709,2,9
E780,45,41592
M6622,1,1
V796,0,1
N411,537,1050
O344,18,62
M8098,173,291
F232,10,10
H353,1439,2672
M5463,2,7
M1204,1,1
N991,61,68
M0734,1,23
Z610,0,1
C839,41,68
S4241,23,28
X429,0,87
F310,185,191
T920,0,96
M8151,0,1
R838,2,19
M1999,115,5528
C865,18,18
S6280,136,173
M711,11,12
I688,0,2
V869,0,3
C827,59,89
C103,2,3
Z273,1,2
M8089,2,2
W5493,0,1
T816,7,11
R789,2,6
M4140,3,4
Z621,0,2
S820,52,69
G35,843,1620
Q870,4,21
F302,43,48
M2136,0,2
K291,541,914
X676,0,1
I48,8908,17365
W505,0,7
S917,1,2
C740,9,13
H018,60,92
M6532,2,2
C399,0,2
E668,484,1779
M2389,208,456
G838,20,55
N434,20,33
M7186,3,3
M859,3,9
V946,0,1
J13,282,328
M7788,1,1
Z093,1,1
M0707,0,1
J156,12,19
T013,6,13
Z372,0,368
X910,0,2
G120,0,1
C80,368,1079
M7946,16,65
K030,1,1
C419,11,27
X018,0,3
G520,0,1
S050,30,74
R208,696,1720
K914,434,620
K003,1,1
M192,9,14
O751,0,3
N952,308,1308
M6205,0,1
