Topic,First occurrence year,First valid occurrence date,reviews,research_review_ratio,reviews_div_research,reviews_ratio,Years from First ever occurrence to (first valid) Start date,Years since Start date,# Years of Topic coverage in dataset (After dates filtering),Average topic popularity value (After dates filtering),Max topic popularity value (After dates filtering),Minimum topic popularity value (After dates filtering),Year of topics max popularity (After dates filtering),Year of topics min popularity (After dates filtering),Fraction of papers that were reviews in year of topics max popularity,Fraction of papers that were reviews in year of topics lowest popularity,Average topic reviews popularity value (After dates filtering)
BLAST,1945,1950,1.42,1.0,0.01,0.01,5,70,42,166.42,198.61,103.33,1989,1980,0.04,0.03,9.99
Brodmann area,1951,1978,0.0,-2.0,0.0,0.0,27,42,42,7.75,15.28,0.71,2005,1980,0.02,0.0,0.31
Cingulate cortex,1946,1951,0.0,1.0,0.0,0.0,5,69,42,79.36,162.47,13.82,2013,1979,0.07,0.0,5.25
DNA array,1956,1978,0.35,1.0,0.09,0.08,22,42,42,335.22,991.05,4.25,2010,1979,0.08,0.08,31.59
Dorsolateral prefrontal cortex,1960,1975,0.0,-37.67,0.0,0.0,15,45,42,29.16,68.94,0.36,2014,1980,0.05,0.0,1.96
EEG,1945,1950,20.56,0.97,0.03,0.03,5,70,42,586.98,719.95,501.23,1979,2002,0.03,0.12,45.99
Epidemiology,1945,1950,153.14,1.0,0.04,0.04,5,70,42,8212.46,12747.16,3672.11,2020,1980,0.08,0.04,931.46
FACS,1950,1976,0.0,1.0,0.0,0.0,26,44,42,50.16,79.32,7.8,2008,1979,0.01,0.0,0.92
GABA,1947,1953,20.91,0.96,0.09,0.08,6,67,42,369.12,475.79,216.04,1999,2020,0.12,0.13,42.11
HMM,1968,1977,0.35,0.79,0.04,0.04,9,43,42,15.18,27.5,6.26,1990,1985,0.0,0.0,0.26
Histamine,1945,1950,21.98,0.96,0.05,0.05,5,70,42,324.78,574.29,87.32,1985,2020,0.07,0.15,37.08
Insular cortex,1946,1952,0.0,1.0,0.0,0.0,6,68,42,17.15,32.25,2.49,2018,1980,0.07,0.0,1.27
LSD,1950,1955,1.42,0.3,0.04,0.04,5,65,42,19.85,38.28,12.2,1979,1992,0.04,0.08,1.7
MRI,1947,1964,0.0,-3.58,0.0,0.0,17,56,42,1996.95,3345.91,4.25,2013,1979,0.11,0.0,255.81
Medulla oblongata,1945,1950,4.61,1.0,0.03,0.03,5,70,42,134.82,238.8,27.87,1984,2020,0.07,0.08,6.47
Mononucleosis,1945,1950,5.67,1.0,0.1,0.1,5,70,42,27.22,66.28,8.03,1981,2018,0.12,0.16,3.43
Norepinephrine,1946,1951,33.32,0.95,0.04,0.04,5,69,42,495.23,984.44,129.16,1984,2020,0.06,0.14,35.8
Orbitofrontal cortex,1945,1950,0.35,1.0,0.03,0.03,5,70,42,178.59,375.57,12.05,2013,1979,0.1,0.03,17.68
PCR,1964,1970,0.0,1.0,0.0,0.0,6,50,42,1603.88,2849.55,3.21,2006,1980,0.02,0.0,34.5
Prefrontal cortex,1945,1950,0.35,0.57,0.04,0.04,5,70,42,167.92,353.57,9.93,2015,1979,0.1,0.04,16.61
RNA,1945,1950,90.75,1.0,0.06,0.06,5,70,42,3791.73,4945.07,1555.58,2006,1982,0.06,0.05,223.39
SNP,1950,1977,0.0,1.0,0.0,0.0,27,43,42,162.28,437.75,4.58,2013,1986,0.04,0.0,5.74
Synthetic Biology,1959,1969,3.19,-4.02,0.21,0.18,10,51,42,121.87,335.61,15.21,2019,1985,0.19,0.16,18.77
acetylcholine,1945,1950,29.07,0.99,0.08,0.07,5,70,42,359.91,513.6,142.33,1993,2020,0.09,0.14,32.21
amygdala,1945,1950,2.48,0.78,0.03,0.03,5,70,42,142.67,187.22,88.62,2012,1979,0.11,0.03,13.74
ancient bacteria,1950,1969,0.71,1.0,0.2,0.17,19,51,42,16.71,33.39,1.43,2016,1986,0.28,0.0,3.69
ancient viruses,1963,1972,0.0,1.0,0.0,0.0,9,48,42,5.22,11.51,0.31,2020,1984,0.28,0.0,1.55
antibiotic,1945,1950,136.48,1.0,0.05,0.04,5,70,42,2925.69,3358.66,2691.32,1984,2015,0.06,0.12,300.03
antibiotic resistance,1945,1950,27.3,1.0,0.06,0.06,5,70,42,676.19,936.27,434.06,2019,1988,0.12,0.1,81.58
aquaphonic agriculture,1945,1950,5.67,1.0,0.02,0.02,5,70,42,1526.54,4521.3,271.55,2020,1980,0.08,0.03,102.82
archaea,1945,1953,3.19,1.0,0.07,0.07,8,67,42,106.55,166.91,33.13,2001,1982,0.12,0.04,11.22
autism,1946,1951,3.19,0.73,0.07,0.06,5,69,42,150.23,407.73,39.84,2019,1981,0.13,0.05,23.49
autoimmune,1946,1951,33.32,1.0,0.13,0.12,5,69,42,698.02,932.59,289.97,2020,1979,0.26,0.12,179.01
basal ganglia,1945,1950,13.82,0.92,0.04,0.03,5,70,42,457.97,577.19,254.93,1997,2020,0.1,0.08,35.54
cannabidiol,1963,1974,0.0,1.0,0.0,0.0,11,46,42,8.86,53.66,1.2,2020,1992,0.26,0.0,1.6
