Year,crispr,patents filed  Count
2002-01-01,0.176863745938766,0
2003-01-01,0.168192735419371,0
2004-01-01,0.156310081687648,0
2005-01-01,0.713886957428065,3
2006-01-01,0.93335946739842,11
2007-01-01,2.16104899860803,8
2008-01-01,3.34498503119198,22
2009-01-01,4.44420134283252,32
2010-01-01,5.73230760411834,13
2011-01-01,8.52600971965108,20
2012-01-01,13.3076602563514,32
2013-01-01,28.702316102956,351
2014-01-01,57.8249521720445,987
2015-01-01,107.121385150288,1657
2016-01-01,178.355393557407,3106
2017-01-01,249.872224430688,4311
2018-01-01,320.50376980205,5754
2019-01-01,379.476200751854,6621
2020-01-01,385.564172190768,5504
2021-01-01,400.844133256841,2931
