id,dbXRefs,ICD10,All_ICD_counts,f41202_ICD_counts,ICD10_all_freq
MONDO_0007097,E85.1,E85,2.0,1.0,0.0003979180925398316
MONDO_0007604,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0008291,Q82.8,Q82,86.0,52.0,0.01711047797921276
MONDO_0008695,E78.6,E78,27.0,0.0,0.005371894249287726
MONDO_0008796,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0008806,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0009061,E84.9,E84,20.0,11.0,0.003979180925398316
MONDO_0009061,E84.1,E84,3.0,2.0,0.0005968771388097474
MONDO_0009061,E84.0,E84,11.0,7.0,0.0021885495089690736
MONDO_0009061,E84.8,E84,5.0,4.0,0.000994795231349579
MONDO_0009315,D68.2,D68,365.0,17.0,0.07262005188851926
MONDO_0009905,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0010412,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0011765,Q77.3,Q77,7.0,2.0,0.0013927133238894106
MONDO_0011929,Q93.5,Q93,3.0,0.0,0.0005968771388097474
MONDO_0012271,Q70.2,Q70,1.0,1.0,0.0001989590462699158
MONDO_0012271,Q70.0,Q70,2.0,2.0,0.0003979180925398316
MONDO_0012726,I99,I99,180.0,98.0,0.035812628328584846
MONDO_0012980,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0007381,H18.5,H18,253.0,138.0,0.0503366387062887
MONDO_0007540,D44.8,D44,23.0,15.0,0.004576058064208063
MONDO_0008610,H53.5,H53,7.0,2.0,0.0013927133238894106
MONDO_0009124,Q87.1,Q87,14.0,2.0,0.002785426647778821
MONDO_0010010,Q87.0,Q87,21.0,4.0,0.004178139971668232
MONDO_0010187,D68.2,D68,365.0,17.0,0.07262005188851926
MONDO_0010336,Q87.0,Q87,21.0,4.0,0.004178139971668232
MONDO_0010375,G25.8,G25,328.0,58.0,0.06525856717653239
MONDO_0010399,Q99.8,Q99,20.0,4.0,0.003979180925398316
MONDO_0011348,Q69.2,Q69,1.0,1.0,0.0001989590462699158
MONDO_0011348,Q69.9,Q69,1.0,0.0,0.0001989590462699158
MONDO_0012064,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0012125,E75.2,E75,13.0,7.0,0.0025864676015089055
MONDO_0012512,E88.8,E88,25.0,8.0,0.004973976156747895
MONDO_0002203,K59.0,K59,13015.0,5398.0,2.589451987202954
MONDO_0004891,H52.0,H52,287.0,57.0,0.057101246279465834
MONDO_0007574,G11.1,G11,13.0,7.0,0.0025864676015089055
MONDO_0007872,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0008223,G72.3,G72,8.0,6.0,0.0015916723701593265
MONDO_0008709,Q87.0,Q87,21.0,4.0,0.004178139971668232
MONDO_0009668,Q79.8,Q79,24.0,8.0,0.0047750171104779795
MONDO_0009885,D69.8,D69,9.0,1.0,0.0017906314164292422
MONDO_0010225,N25.8,N25,67.0,24.0,0.013330256100084358
MONDO_0010265,Q87.3,Q87,2.0,1.0,0.0003979180925398316
MONDO_0012215,G71.0,G71,82.0,27.0,0.016314641794133097
MONDO_0012215,G71.8,G71,5.0,2.0,0.000994795231349579
MONDO_0013006,E23.0,E23,344.0,187.0,0.06844191191685103
MONDO_0007413,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0008146,Q78.0,Q78,42.0,10.0,0.008356279943336464
MONDO_0008546,Q77.1,Q77,1.0,0.0,0.0001989590462699158
MONDO_0009110,E72.0,E72,11.0,3.0,0.0021885495089690736
MONDO_0009431,E83.3,E83,214.0,14.0,0.04257723590176198
MONDO_0012247,G11.8,G11,2.0,1.0,0.0003979180925398316
MONDO_0012392,E71.1,E71,2.0,1.0,0.0003979180925398316
MONDO_0012593,E03.1,E03,13.0,0.0,0.0025864676015089055
MONDO_0005321,H18.5,H18,253.0,138.0,0.0503366387062887
MONDO_0007630,H35.5,H35,106.0,13.0,0.021089658904611074
MONDO_0007700,E70.2,E70,3.0,2.0,0.0005968771388097474
MONDO_0007899,L90.0,L90,579.0,369.0,0.11519728779028125
MONDO_0008402,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0009406,Q87.3,Q87,2.0,1.0,0.0003979180925398316
MONDO_0009892,D75.1,D75,352.0,215.0,0.07003358428701036
MONDO_0009979,H35.5,H35,106.0,13.0,0.021089658904611074
MONDO_0010771,I42.0,I42,797.0,398.0,0.1585703598771229
MONDO_0011012,E83.1,E83,801.0,674.0,0.15936619606220256
MONDO_0011359,Q75.8,Q75,4.0,1.0,0.0007958361850796633
MONDO_0011812,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0012290,Q82.8,Q82,86.0,52.0,0.01711047797921276
MONDO_0012643,G11.4,G11,29.0,12.0,0.0057698123418275585
MONDO_0007311,G60.0,G60,101.0,31.0,0.020094863673261496
MONDO_0007621,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0008705,E83.3,E83,214.0,14.0,0.04257723590176198
MONDO_0008812,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0008995,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0009354,E72.1,E72,11.0,1.0,0.0021885495089690736
MONDO_0010173,Q51.8,Q51,42.0,8.0,0.008356279943336464
MONDO_0011939,Q77.7,Q77,9.0,5.0,0.0017906314164292422
MONDO_0012605,Q15.8,Q15,1.0,1.0,0.0001989590462699158
MONDO_0001410,N95.2,N95,1308.0,308.0,0.2602384325210499
MONDO_0007646,G60.0,G60,101.0,31.0,0.020094863673261496
MONDO_0008582,Q82.4,Q82,1.0,0.0,0.0001989590462699158
MONDO_0008703,Q78.8,Q78,3.0,0.0,0.0005968771388097474
MONDO_0010325,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0010669,Q70.0,Q70,2.0,2.0,0.0003979180925398316
MONDO_0011150,E34.8,E34,40.0,25.0,0.007958361850796632
MONDO_0011911,Q75.8,Q75,4.0,1.0,0.0007958361850796633
MONDO_0007874,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0008006,Q87.0,Q87,21.0,4.0,0.004178139971668232
MONDO_0008087,G60.0,G60,101.0,31.0,0.020094863673261496
MONDO_0008673,Q75.4,Q75,6.0,2.0,0.0011937542776194949
MONDO_0009140,Q77.7,Q77,9.0,5.0,0.0017906314164292422
MONDO_0009362,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0011436,G12.2,G12,254.0,174.0,0.050535597752558614
MONDO_0011472,Q81.0,Q81,2.0,0.0,0.0003979180925398316
MONDO_0011884,Q82.8,Q82,86.0,52.0,0.01711047797921276
MONDO_0011965,G40.2,G40,1.0,0.0,0.0001989590462699158
MONDO_0013007,D81.8,D81,1.0,1.0,0.0001989590462699158
MONDO_0007031,I71.4,I71,957.0,494.0,0.19040380728030942
MONDO_0007409,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0007790,G60.0,G60,101.0,31.0,0.020094863673261496
MONDO_0008026,G12.1,G12,5.0,2.0,0.000994795231349579
MONDO_0008961,G60.0,G60,101.0,31.0,0.020094863673261496
