Year,(sleep) AND (review[Publication Type]),(sleep) NOT (review[Publication Type]),antibiotic AND (review[Publication Type]),antibiotic NOT (review[Publication Type]),antibiotic resistant
1945,0,136.4988056,0,3085.847999,73.12436016
1946,0,113.105392,0,4103.315286,100.1260847
1947,0,84.55034589,0,3904.688701,118.3704842
1948,0,110.236443,2.826575462,4002.430855,120.1294572
1949,0,116.1939324,0,4302.358896,152.8029797
1950,0,102.5736665,0,5080.893323,199.3192838
1951,0,167.5961511,0,4413.365311,205.1608056
1952,0,213.5290529,0,4408.311919,188.5711116
1953,0,224.9274724,0,4590.356579,392.0164518
1954,0,271.8468596,0,4014.460743,286.9494629
1955,0,228.4408909,0,3698.347488,288.3145115
1956,0,204.6422965,0,3642.445989,256.9709202
1957,0,199.9479956,0,3486.08882,211.6041568
1958,0,151.6411039,0,3210.9547,203.7106395
1959,0,173.6363636,0,2888.181818,173.6363636
1960,0,163.0696298,0,2742.777708,184.4558108
1961,0,129.8052921,0,2764.187053,206.357131
1962,0,194.1222334,1.591165847,3017.646029,236.2881283
1963,7.771654656,257.1711177,116.5748198,3985.44581,428.8540342
1964,14.18789711,299.1795694,134.47659,4229.843933,524.3353279
1965,13.57949948,281.7746143,64.50262254,3300.384187,364.9490486
1966,12.76465855,294.6971169,76.03296612,2985.820129,340.2058995
1967,14.57748715,412.3346366,98.39803829,3311.172082,435.2421164
1968,19.69667126,394.8942385,105.2090489,3311.442805,490.4951551
1969,26.46903123,453.2241138,129.5589424,3488.804064,482.4793588
1970,22.33099086,420.1872157,138.0875557,3448.543017,493.1047369
1971,25.48533922,458.736106,168.1138166,3573.759937,514.6250078
1972,21.5035832,445.8702149,142.1869583,3461.638046,486.2442895
1973,20.76789284,452.5669981,160.5185051,3680.676341,513.5726833
1974,21.69197397,445.7487984,170.1331292,3720.386202,541.0233508
1975,23.67652252,426.1774054,126.4085524,3275.386048,508.0419917
1976,21.96448813,453.0175677,118.4513467,3087.971697,502.829889
1977,18.30719473,413.4374809,117.4711662,3018.780131,516.0340514
1978,18.71078989,398.0628829,104.5602964,2851.377628,485.3799024
1979,19.14201246,431.4042439,136.4754592,2974.456048,525.3418976
1980,21.02217661,446.0977139,129.3398324,2907.473918,468.5451229
1981,23.97413614,431.5344505,134.6782354,2974.908246,521.7900218
1982,27.72396399,475.7026503,137.9436257,3137.879387,579.1603696
1983,30.36842717,469.4183477,148.2883838,3096.287298,601.8763811
1984,36.44910323,469.7535287,198.5847693,3160.074406,616.8068072
1985,35.48330347,451.1448584,171.1547579,3165.170305,613.6524246
1986,34.02556778,484.6498941,187.2835874,2924.197325,573.0019986
1987,37.22896903,437.7800665,192.9384526,2744.889169,505.444397
1988,51.67371152,415.4566406,263.5359287,2593.503581,485.7328883
1989,53.37676298,455.5644655,262.1667987,2687.706214,516.3891489
1990,72.52478741,454.1317225,272.5763822,2617.950128,510.5939731
1991,67.76231883,466.3499585,288.9578881,2568.433892,500.4731262
1992,79.18110944,460.0159319,312.8969521,2512.983549,513.3615132
1993,91.68175206,501.20917,345.2098623,2440.792766,496.9992937
1994,69.8148765,467.0295823,338.1230293,2403.137563,535.0192333
1995,89.49123565,501.5516266,345.2758868,2540.92777,560.9898354
1996,86.97851042,505.5217185,350.747928,2569.898896,606.4516692
1997,83.17428076,521.5902922,371.6577072,2644.285489,647.6649915
1998,103.8493784,532.3070571,394.7540265,2693.13246,702.7211486
1999,95.9677354,547.2590481,402.7000543,2608.135796,699.916585
2000,111.7232418,565.9392451,392.6273927,2550.669776,711.6488848
2001,104.275858,538.910783,416.1903336,2612.922902,762.4373158
2002,123.8048411,569.6791332,420.2290036,2588.051772,764.0527338
2003,130.1811772,551.8403649,426.7049698,2556.361386,755.5217675
2004,138.3344223,601.3248843,407.9693132,2501.586547,747.9437409
2005,135.3529671,601.3783729,372.5062144,2485.611608,750.2951923
2006,135.2052279,609.8902491,364.4140907,2483.829375,748.4289393
2007,143.6463807,627.7219718,360.6414002,2488.133284,759.4190076
2008,127.1097349,663.503259,333.0657339,2486.524457,760.7469847
2009,135.3772101,677.3418662,308.1312931,2493.652769,762.3514611
2010,130.1444752,687.4515674,291.6043013,2457.034277,751.6745751
2011,126.6161443,716.1848165,298.0183397,2466.858812,795.1729065
2012,123.3481308,742.9338683,306.2594588,2460.262904,827.0014932
2013,133.1614672,797.9250817,307.4629566,2461.443188,830.3674248
2014,147.4247134,839.9143493,321.8952662,2420.602624,876.9986751
2015,158.9725238,869.5375562,315.1616366,2376.158098,875.422482
2016,167.4545047,914.1879352,333.5855661,2388.270244,932.0154952
2017,180.6548855,966.9717744,330.5355105,2432.164244,978.0996242
2018,160.5980997,1007.286739,305.7383537,2512.12289,1028.987177
2019,149.2801247,1067.18955,303.3184645,2618.296687,1089.27619
2020,148.0961702,1130.295084,299.8855117,2462.914405,1062.463838
2021,162.721529,1211.35865,273.5898948,2123.630546,978.5637304
