Year,rnase,serotonin,BLAST,genetic algorithm,Epidemiology,mouse,FACS,Mononucleosis,Prefrontal cortex,paleocortex,neutrotransmitter,epinephrine,nanopore,RNA,Histamine,dopamine,cocaine,fMRI,gene therapy,cannabis,connectome,savant,homeopathy,substance P,ribozyme,lateral ventricles,autism,neuropeptide,microglia,machine learning,SNP,natural medicine,GABA,DNA array,ribosome,BRCA1,stem cells,EEG,soy milk,inflammatory,prion,glycine,NGS,autoimmune,glutamate,archaea,perceptron,Drug repurposing,antibiotic,illumina,lipid,genetic engineering,influenza
1945,14.624872032369717,0,34.12470140886267,0,2573.9774776970703,575.2449666065422,0,87.7492321942183,4.874957344123239,121.87393360308097,0,219.37308048554576,0,34.12470140886267,170.62350704431336,0,9.749914688246477,0,4.874957344123239,34.12470140886267,0,0,19.499829376492954,0,0,0,0,38.99965875298591,0,0,0,4.874957344123239,0,0,0,0,9.749914688246477,155.99863501194363,0,82.87427485009506,0,34.12470140886267,0,0,19.499829376492954,14.624872032369717,0,0,3085.84799883001,0,950.6166821040315,4.874957344123239,443.6211183152148
1946,14.833494029518654,1.8541867536898318,48.208855595935624,0,2150.8566342802046,610.0274419639546,0,72.31328339390343,1.8541867536898318,153.89750055625603,0,144.62656678780687,0,27.812801305347474,222.5024104427798,0,5.562560261069495,0,31.521174812727136,27.812801305347474,0,1.8541867536898318,81.58421716235259,1.8541867536898318,0,1.8541867536898318,1.8541867536898318,53.77141585700512,0,0,0,38.93792182748646,0,0,0,0,12.979307275828823,192.8354223837425,5.562560261069495,113.10539197507974,0,24.104427797967812,0,1.8541867536898318,46.354668842245786,0,0,0,4103.315285915597,0,1079.136690647482,20.396054290588147,383.8166580137952
1947,6.149116064565719,0,26.133743274404306,0,1251.3451191391239,642.5826287471176,0,50.73020753266718,1.5372790161414298,156.80245964642583,0,175.249807840123,0,24.596464258262877,310.5303612605688,0,10.760953112990007,1.5372790161414298,6.149116064565719,7.686395080707149,0,0,95.31129900076864,1.5372790161414298,0,9.223674096848578,3.0745580322828596,72.25211375864718,0,0,0,30.745580322828594,1.5372790161414298,0,0,0,6.149116064565719,169.10069177555727,3.0745580322828596,106.07225211375865,0,35.357417371252886,0,4.611837048424289,46.11837048424289,3.0745580322828596,0,0,3904.6887009992315,0,1054.5734050730207,4.611837048424289,365.8724058416603
1948,14.13287731249205,8.47972638749523,39.57205647497774,0,1027.460180618172,556.8353661121868,0,90.45041479994913,1.4132877312492051,141.3287731249205,0,216.2330228811284,0,39.57205647497774,457.9052249247424,1.4132877312492051,12.719589581242845,0,12.719589581242845,11.306301849993641,0,0,46.63849513122377,0,0,4.239863193747615,1.4132877312492051,94.69027799369674,0,0,0,24.025891431236488,1.4132877312492051,0,0,0,8.47972638749523,183.72740506239666,0,108.82315530618878,0,70.66438656246025,0,9.893014118744436,67.83781109996184,0,0,0,4005.257430360247,0,1108.0175812993766,8.47972638749523,387.2408383622822
1949,4.775093114315729,1.5916977047719096,20.692070162034824,0,865.883551395919,692.3885015757808,0,98.68525769585841,4.775093114315729,119.37732785789322,0,249.89653964918983,0,31.833954095438195,507.75156782223917,1.5916977047719096,22.283767866806738,0,11.141883933403369,1.5916977047719096,0,3.1833954095438193,25.467163276350554,0,0,4.775093114315729,1.5916977047719096,124.15242097220897,1.5916977047719096,0,0,30.242256390666284,0,0,1.5916977047719096,0,7.958488523859549,257.8550281730494,0,122.56072326743706,0,68.44300130519211,0,11.141883933403369,79.58488523859549,1.5916977047719096,0,0,4302.358895998472,0,1053.7038805590043,11.141883933403369,463.18403208862577
1950,5.8280492353599405,2.3312196941439765,17.48414770607982,0,416.12271540469976,643.4166355837374,1.1656098470719882,86.25512868332711,4.662439388287953,215.63782170831777,0,324.0395374860127,0,25.643416635583737,635.2573666542335,1.1656098470719882,25.643416635583737,0,13.987318164863856,8.159268929503916,0,1.1656098470719882,113.06415516598284,3.496829541215964,0,5.8280492353599405,2.3312196941439765,636.4229765013055,2.3312196941439765,0,1.1656098470719882,27.974636329727712,10.490488623647892,0,0,0,10.490488623647892,346.18612458038046,0,127.0514733308467,0,47.79000372995151,0,15.152928011935845,62.94293174188736,1.1656098470719882,0,0,5080.893323386796,0,1246.0369265199552,10.490488623647892,452.25662066393136
1951,9.631962705040406,5.7791776230242435,16.37433659856869,0.9631962705040406,1115.381281243679,613.5560243110739,10.595158975544447,77.05570164032325,1.926392541008081,299.5540401267566,0,327.4867319713738,0,34.67506573814546,564.4330145153677,1.926392541008081,21.190317951088893,0,26.006299303609094,7.705570164032324,0,1.926392541008081,92.4668419683879,3.852785082016162,0,15.411140328064649,4.815981352520203,1025.8040280868033,0.9631962705040406,0,0,16.37433659856869,6.742373893528284,0,0.9631962705040406,0,6.742373893528284,285.10609606919604,1.926392541008081,127.14190770653337,0,51.04940233671416,0,9.631962705040406,85.72446807485962,2.8895888115121218,0,0,4413.365311449514,0.9631962705040406,1199.1793567775305,14.447944057560608,438.25430307933846
1952,12.941154720748369,21.26046846980089,26.806677635835907,0,1463.274851638905,620.2510584015824,3.6974727773566767,67.47887818675935,2.7731045830175076,346.63807287718845,0,310.5877132979609,0,77.64692832449022,470.50341091863714,1.8487363886783383,13.865522915087537,0,24.033573052818397,4.621840971695845,0,3.6974727773566767,64.70577360374185,1.8487363886783383,0,6.470577360374184,3.6974727773566767,1142.5190882032132,1.8487363886783383,0,0,14.789891109426707,1.8487363886783383,0,0.9243681943391692,0,14.789891109426707,366.97417315265017,0.9243681943391692,134.9577563735187,0,45.29404152261929,0,8.319313749052522,63.78140540940268,0.9243681943391692,0,0,4408.311918803498,0,1264.5356898559835,10.16805013773086,433.5286831450703
1953,18.361426315596198,46.8216371047703,19.279497631376003,0,1028.239873673387,696.8161286768756,0,67.01920605192612,3.6722852631192393,386.5080239432999,0,339.68638683852964,0,89.97098894642136,415.8863060482538,0.9180713157798098,22.033711578715433,0,21.115640262935624,10.098784473577908,0,0.9180713157798098,39.477066578531826,8.262641842018288,0,5.508427894678858,2.754213947339429,958.4664536741213,1.8361426315596197,0,0,18.361426315596198,7.344570526238479,0,1.8361426315596197,0,23.869854210275054,419.55859131137305,2.754213947339429,157.9082663141273,0,75.2818478939444,0,23.869854210275054,83.54448973596269,3.6722852631192393,0,0,4590.356578899049,0,1526.7525981418237,9.180713157798099,496.6765818368771
1954,31.149119329444414,49.08346076154878,17.934341432104357,0,1112.873081497423,768.3449434596289,0,67.01780219365313,0.9439127069528609,415.3215910592588,0,328.48162201959565,0,99.1108342300504,430.4241943705046,0,16.9904287251515,0,15.102603311245774,6.607388948670026,0,1.8878254139057218,22.653904966868662,3.7756508278114436,0,11.326952483434331,4.719563534764305,968.4544373336355,0.9439127069528609,0,0,19.82216684601008,0.9439127069528609,0,0,0,25.485643087727247,482.339393252912,0,172.73602537237358,0,70.79345302146457,0,17.934341432104357,97.22300881614468,2.831738120858583,0,0,4014.460742670518,0,1665.0620150648467,8.49521436257575,473.84417889033625
