Year,crispr,crispr[majr]
2001,0,0
2002,0.17686374593876625,0
2003,0.16819273541937177,0
2004,0.1563100816876487,0
2005,0.7138869574280652,0
2006,0.9333594673984205,0
2007,2.16104899860803,0
2008,3.3449850311919853,0
2009,4.444201342832529,0
2010,5.732307604118345,0
2011,8.52600971965108,0
2012,13.307660256351426,0.09177696728518224
2013,28.70231610295608,7.306044098934275
2014,57.824952172044576,17.25622676009365
2015,107.12138515028805,20.120052296230792
2016,178.3553935574077,24.133641205934698
2017,249.87222443068887,28.08760262335139
2018,320.5037698020501,25.117151447505897
2019,379.47620075185404,28.961146634260466
2020,385.5641721907687,23.382442616101518
2021,400.84413325684153,16.22896689007031
