Document Count,Publication Year,Document Type
0,"2005","Amended Application"
0,"2005","Amended Patent"
0,"2005","Design Right"
2,"2005","Granted Patent"
0,"2005","Limited Patent"
3,"2005","Patent Application"
0,"2005","Patent of Addition"
0,"2005","Plant Patent"
0,"2005","Search Report"
0,"2005","Unknown"
0,"2006","Amended Application"
0,"2006","Amended Patent"
0,"2006","Design Right"
9,"2006","Granted Patent"
0,"2006","Limited Patent"
11,"2006","Patent Application"
0,"2006","Patent of Addition"
0,"2006","Plant Patent"
2,"2006","Search Report"
0,"2006","Unknown"
0,"2007","Amended Application"
0,"2007","Amended Patent"
0,"2007","Design Right"
6,"2007","Granted Patent"
0,"2007","Limited Patent"
8,"2007","Patent Application"
0,"2007","Patent of Addition"
0,"2007","Plant Patent"
2,"2007","Search Report"
0,"2007","Unknown"
2,"2008","Amended Application"
0,"2008","Amended Patent"
0,"2008","Design Right"
14,"2008","Granted Patent"
0,"2008","Limited Patent"
22,"2008","Patent Application"
0,"2008","Patent of Addition"
0,"2008","Plant Patent"
7,"2008","Search Report"
0,"2008","Unknown"
2,"2009","Amended Application"
0,"2009","Amended Patent"
0,"2009","Design Right"
16,"2009","Granted Patent"
0,"2009","Limited Patent"
32,"2009","Patent Application"
0,"2009","Patent of Addition"
0,"2009","Plant Patent"
13,"2009","Search Report"
0,"2009","Unknown"
0,"2010","Amended Application"
0,"2010","Amended Patent"
0,"2010","Design Right"
10,"2010","Granted Patent"
0,"2010","Limited Patent"
13,"2010","Patent Application"
0,"2010","Patent of Addition"
0,"2010","Plant Patent"
0,"2010","Search Report"
0,"2010","Unknown"
0,"2011","Amended Application"
1,"2011","Amended Patent"
0,"2011","Design Right"
16,"2011","Granted Patent"
0,"2011","Limited Patent"
20,"2011","Patent Application"
0,"2011","Patent of Addition"
0,"2011","Plant Patent"
1,"2011","Search Report"
0,"2011","Unknown"
2,"2012","Amended Application"
0,"2012","Amended Patent"
0,"2012","Design Right"
23,"2012","Granted Patent"
1,"2012","Limited Patent"
32,"2012","Patent Application"
0,"2012","Patent of Addition"
0,"2012","Plant Patent"
1,"2012","Search Report"
0,"2012","Unknown"
2,"2013","Amended Application"
2,"2013","Amended Patent"
0,"2013","Design Right"
198,"2013","Granted Patent"
2,"2013","Limited Patent"
351,"2013","Patent Application"
2,"2013","Patent of Addition"
0,"2013","Plant Patent"
39,"2013","Search Report"
8,"2013","Unknown"
11,"2014","Amended Application"
1,"2014","Amended Patent"
0,"2014","Design Right"
463,"2014","Granted Patent"
1,"2014","Limited Patent"
987,"2014","Patent Application"
0,"2014","Patent of Addition"
0,"2014","Plant Patent"
90,"2014","Search Report"
10,"2014","Unknown"
7,"2015","Amended Application"
2,"2015","Amended Patent"
0,"2015","Design Right"
647,"2015","Granted Patent"
1,"2015","Limited Patent"
1657,"2015","Patent Application"
1,"2015","Patent of Addition"
0,"2015","Plant Patent"
118,"2015","Search Report"
10,"2015","Unknown"
25,"2016","Amended Application"
3,"2016","Amended Patent"
0,"2016","Design Right"
1133,"2016","Granted Patent"
0,"2016","Limited Patent"
3106,"2016","Patent Application"
3,"2016","Patent of Addition"
0,"2016","Plant Patent"
179,"2016","Search Report"
17,"2016","Unknown"
17,"2017","Amended Application"
2,"2017","Amended Patent"
0,"2017","Design Right"
1534,"2017","Granted Patent"
4,"2017","Limited Patent"
4311,"2017","Patent Application"
2,"2017","Patent of Addition"
0,"2017","Plant Patent"
174,"2017","Search Report"
15,"2017","Unknown"
21,"2018","Amended Application"
0,"2018","Amended Patent"
0,"2018","Design Right"
1558,"2018","Granted Patent"
1,"2018","Limited Patent"
5754,"2018","Patent Application"
2,"2018","Patent of Addition"
0,"2018","Plant Patent"
245,"2018","Search Report"
17,"2018","Unknown"
19,"2019","Amended Application"
1,"2019","Amended Patent"
1,"2019","Design Right"
1595,"2019","Granted Patent"
1,"2019","Limited Patent"
6621,"2019","Patent Application"
9,"2019","Patent of Addition"
1,"2019","Plant Patent"
134,"2019","Search Report"
23,"2019","Unknown"
13,"2020","Amended Application"
0,"2020","Amended Patent"
0,"2020","Design Right"
525,"2020","Granted Patent"
1,"2020","Limited Patent"
5504,"2020","Patent Application"
9,"2020","Patent of Addition"
0,"2020","Plant Patent"
123,"2020","Search Report"
6,"2020","Unknown"
0,"2021","Amended Application"
0,"2021","Amended Patent"
1,"2021","Design Right"
63,"2021","Granted Patent"
4,"2021","Limited Patent"
2931,"2021","Patent Application"
0,"2021","Patent of Addition"
0,"2021","Plant Patent"
48,"2021","Search Report"
0,"2021","Unknown"
