Year,blockchain,buckyballs,language model,crispr cas-9,ancient bacteria,graph neural network,ultrasound,hydrophonics,crypto,covid,ancient viruses,aquaphonic agriculture,synthetic biology,carbon nanotubes
1945,0,0,0,0,0,0,506.99556378881687,4.874957344123239,4.874957344123239,0,0,336.3720567445035,0,0
1946,0,0,0,0,0,0,569.2353333827783,1.8541867536898318,0,0,0,172.43936809315434,0,0
1947,0,0,0,0,0,0,573.4050730207532,4.611837048424289,1.5372790161414298,0,0,116.83320522674866,0,0
1948,0,0,0,0,0,0,631.7396158683946,0,0,0,0,132.84904673742525,0,0
1949,0,0,1.5916977047719096,0,0,0,611.2119186324134,1.5916977047719096,0,0,0,132.1109094960685,0,0
1950,0,0,1.1656098470719882,0,1.1656098470719882,0,229.62513987318167,1.1656098470719882,1.1656098470719882,0,0,120.05781424841476,0,0
1951,0,0,0,0,0,0,455.5918359484112,0,0.9631962705040406,0,0,60.68136504175455,0,0
1952,0,0,0,0,0,0,705.2929322807861,0,0.9243681943391692,0,0,69.32761457543769,0,0
1953,0,0,0.9180713157798098,0,0,0,877.6761778854982,0,1.8361426315596197,0,0,66.1011347361463,0,0
1954,0,0,0.9439127069528609,0,0.9439127069528609,0,985.4448660587869,0,0.9439127069528609,0,0,125.54039002473051,0,0
1955,0,0,0,0,0,0,930.3439509220538,0,0,0,0,104.08798658830898,0,0
1956,0,0,0,0,0,0,707.3708604320849,0,0.9344397099499141,0,0,99.98504896464081,0,0
1957,0,0,0,0,0,0,601.6372423315909,0,0.8966277829084812,0,0,96.83580055411596,0,0
1958,0,0,0,0,0,0,565.4568873379678,0.9135006257479286,0,0,0,95.9175657035325,0,0
1959,0,0,0,0,0,0,882.7272727272727,0.9090909090909091,0,0,0,102.72727272727273,0.9090909090909091,0
1960,0,0,0,0,0,0,1153.96268111422,0,0,0,0,118.51508616848746,0,0
1961,0,0,1.6641704110500914,0,0,0,1354.6347145947746,0.8320852055250457,0,0,0,133.96571808953237,0.8320852055250457,0
1962,0,0,0,0,0,0,965.8453533609668,0.7955892531803681,0,0,0,136.04576229384293,0,0
1963,0,0,2.1195571538586537,0,1.413038102572436,0,277.66198715548364,0,0.706519051286218,0,0.706519051286218,155.43419128296793,0,0
1964,0,0,4.934920732835729,0,0,0,386.1575473443958,0,0,0,0,157.91746345074333,3.0843254580223305,0
1965,0,0,7.355562219569191,0,0.5658124784283992,0,433.97817095458225,0,0,0,0,197.46855497151137,6.223937262712393,0
1966,0,0,7.214807003912645,0,0.5549851541471266,0,2303.1883897105754,1.1099703082942531,0,0,0,223.65901712129204,2.2199406165885063,0
1967,0,0,18.22214354884055,0,2.082530691296063,0,3930.7766798213192,0,0,0,1.5618980184720475,228.55774336974292,4.685694055416142,0
1968,0,0,18.735948038970772,0,0.48040892407617364,0,4158.419646803359,0.9608178481523473,0,0,0.48040892407617364,262.3032725455908,3.362862468533215,0
1969,0,0,19.50349669833663,0,2.7862138140480903,0,4434.259285057536,1.8574758760320602,0.46436896900801505,0,0.46436896900801505,251.6879812023441,5.572427628096181,0
1970,0,0,17.317911277606118,0,0.9114690146108483,0,4227.849024272419,0.9114690146108483,0,0,0.45573450730542414,265.69321775906224,5.4688140876650895,0
1971,0,0,18.331641755008786,0,1.7884528541471987,0,4442.516889701641,0.44711321353679967,0,0,0.8942264270735993,239.65268245572463,7.153811416588795,0
1972,0,0,28.95714780868978,0,0.8774893275360539,0,4766.960771839612,0.43874466376802695,0,0,0.8774893275360539,212.79116192749305,7.019914620288431,0
1973,0,0,26.392530481209384,0,3.0286510388273062,0,4876.9935013802,0.8653288682363733,0.43266443411818667,0,0.43266443411818667,201.621626299075,6.489966511772798,0
1974,0,0,25.519969376036748,0,2.126664114669729,0,5027.859299902174,1.2759984688018373,0.4253328229339458,0,0.8506656458678916,182.0424482157288,9.357322104546808,0
1975,0,0,29.69609656849565,0,2.4077916136618094,0,3958.0081142577383,0,0.8025972045539366,0,0.8025972045539366,245.59474459350457,15.650645488801763,0
1976,0,0,29.022339357429715,0,2.7453564257028114,0,3695.2497489959837,0.7843875502008031,0.7843875502008031,0,0.39219377510040154,266.6917670682731,19.217494979919678,0
1977,0,0,27.46079209129188,0,1.9069994507841581,0,4048.559834014768,1.5255995606273265,0.3813998901568316,0,1.1441996704704949,255.1565265149204,23.64679318972356,0
1978,0,0,28.249623949811056,0,4.769417030487581,0,4560.663315845471,1.1006346993432878,0.3668782331144293,0.3668782331144293,1.4675129324577172,252.04534614961293,13.574494625233886,0
1979,0,0,30.48542725680782,0,4.253780547461556,0.35448171228846304,4820.596805410809,1.063445136865389,0,0,1.063445136865389,281.45847955703965,18.078567326711614,0
