Year,ultrasound AND (review[Publication Type]),crypto AND (review[Publication Type]),ancient bacteria AND (review[Publication Type]),blockchain AND (review[Publication Type]),ancient viruses AND (review[Publication Type]),covid AND (review[Publication Type]),buckyballs AND (review[Publication Type]),graph neural network AND (review[Publication Type]),crispr cas-9 AND (review[Publication Type]),language model AND (review[Publication Type]),carbon nanotubes AND (review[Publication Type]),hydrophonics AND (review[Publication Type]),synthetic biology AND (review[Publication Type]),aquaphonic agriculture AND (review[Publication Type])
1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,7.065190512862179,0,0,0,0,0,0,0,0,0,0,0,0,2.1195571538586537
1964,9.869841465671458,0,0,0,0,0,0,0,0,0,0,0,0,3.0843254580223305
1965,5.658124784283992,0,0,0,0,0,0,0,0,0,0,0,0,2.263249913713597
1966,26.639287399062077,0,0,0,0,0,0,0,0,0,0,0,0,3.884896079029886
1967,50.50136926392953,0,0,0,0.5206326728240157,0,0,0,0,2.082530691296063,0,0,0,1.5618980184720475
1968,77.82624570034014,0,0,0,0,0,0,0,0,1.4412267722285208,0,0,0,4.323680316685563
1969,89.6232110185469,0,0.46436896900801505,0,0,0,0,0,0,2.7862138140480903,0,0,0,6.9655345351202245
1970,83.85514934419804,0,0,0,0,0,0,0,0,1.3672035219162724,0,0,0.9114690146108483,10.481893668024755
1971,110.43696374358952,0,0.44711321353679967,0,0.44711321353679967,0,0,0,0,2.682679281220798,0,0,0.44711321353679967,10.730717124883192
1972,107.05369795939858,0,0,0,0.43874466376802695,0,0,0,0,2.6324679826081616,0,0,0.43874466376802695,9.652382602896592
1973,134.55863901075602,0,0,0,0,0,0,0,0,4.7593087753000525,0,0,1.7306577364727467,5.624637643536426
1974,157.37314448555995,0,0.4253328229339458,0,0,0,0,0,0,2.5519969376036746,0,0,0.8506656458678916,6.379992344009187
1975,87.88439389865606,0,0.4012986022769683,0,0,0,0,0,0,2.809090215938778,0,0,0.8025972045539366,11.236360863755111
1976,85.10604919678714,0,0.39219377510040154,0,0,0,0,0,0,2.35316265060241,0,0,1.960968875502008,17.648719879518072
1977,83.52657594434613,0,0,0,0,0,0,0,0,2.6697992310978216,0,0,0.7627997803136632,11.82339659486178
1978,83.28135891697546,0,0,0,0.3668782331144293,0.3668782331144293,0,0,0,0.3668782331144293,0,0,1.1006346993432878,6.6038081960597275
1979,84.01216581236575,0,0.7089634245769261,0,0,0,0,0,0,3.8992988351730937,0,0,3.190335410596167,5.671707396615409
1980,129.00558786634735,0,0.35636902725510317,0,0.35636902725510317,0,0,0,0,1.4254761090204127,0,0,3.2073212452959288,7.1273805451020635
1981,131.50982445377588,0,0.35257325590824634,0,0,0,0,0,0,1.7628662795412315,0,0,3.173159303174217,8.461758141797912
1982,126.78727799547622,0,0,0,0.3380994079879366,0,0,0,0,3.380994079879366,0,0,1.690497039939683,8.452485199698415
1983,157.6573666050683,0,0,0,0.3230683741907137,0,0,0,0,5.169093987051419,0,0,0.6461367483814274,13.89194009020069
1984,173.1326963139389,0,0.31421541980751166,0,0,0,0,0,0,5.341662136727698,0,0,2.5137233584600933,17.281848089413142
1985,185.16861973342876,0,0.8945343948474819,0,0.2981781316158273,0,0,0,0,3.2799594477741003,0,0,2.3854250529266183,14.014372185943882
1986,148.3976485120205,0,0,0,0,0,0,0,0,4.574879337557472,0,0,2.0015097101813937,11.437198343893678
1987,260.05929460614743,0,0.5434885989679151,0,0,0,0,0,0,4.347908791743321,0,0,3.5326758932914486,22.011288258200565
1988,460.93069762274473,0,0.7751076753745707,0,0,0,0,0,0,5.167384502497139,0,0.25836922512485694,5.684122952746852,36.17169151747997
1989,562.5536858934574,0,0.9930338674200483,0,0,0,0,0,0,6.454720138230314,0,0,6.454720138230314,46.176074835032246
1990,572.1698159126972,0,1.460237726701907,0,0.4867459089006357,0,0,0,0,9.734918178012714,0,0,11.195155904714621,57.92276315917565
1991,633.3372054752086,0.2420088672048944,0.9680354688195776,0,0.2420088672048944,0,0,0,0,10.164372422605565,0,0.2420088672048944,8.228301484966408,58.80815473078934
1992,647.325059565388,0,1.4353105533600619,0,0.7176552766800309,0,0,0,0,12.917794980240558,0,0.23921842556001033,6.458897490120279,67.45959600792291
1993,649.7029795593807,0,1.6371205388465315,0,0.9354974507694467,0.23387436269236167,0,0.23387436269236167,0,16.605079751157678,0,0.23387436269236167,9.588848870386828,64.78319846578418
1994,599.3598006849174,0,2.053383405467932,0,1.1407685585932954,0,0.2281537117186591,0,0,15.970759820306137,0,0.2281537117186591,12.54845414452625,71.18395805622164
1995,650.6949947908782,0,1.558284284480379,0,1.1130602032002708,0,0.22261204064005413,0,0,12.688886316483087,0,0,11.79843815392287,63.44443158241543
1996,678.3902618734645,0,4.141842858481949,0,2.179917293937868,0,0.4359834587875736,0.4359834587875736,0,20.273230833622172,0,0.4359834587875736,11.5535616578707,74.77116318206888
