Year,coral AND (review[Publication Type]),microglia AND (review[Publication Type]),epstein-barr AND (review[Publication Type]),ncRNA AND (review[Publication Type]),eugenics AND (review[Publication Type]),artificial neural networks AND (review[Publication Type]),influenza AND (review[Publication Type]),junk dna AND (review[Publication Type]),vaccine AND (review[Publication Type]),Epidemiology AND (review[Publication Type]),machine learning AND (review[Publication Type]),genetic algorithm AND (review[Publication Type]),ribosome AND (review[Publication Type]),multiple sclerosis AND (review[Publication Type]),mouse AND (review[Publication Type]),zebra fish AND (review[Publication Type]),ribozyme AND (review[Publication Type]),antibiotic resistance AND (review[Publication Type]),vitamin d AND (review[Publication Type]),prion AND (review[Publication Type]),mass spectrometry AND (review[Publication Type]),neural networks AND (review[Publication Type]),sleep AND (review[Publication Type]),antibiotic AND (review[Publication Type]),stem cells AND (review[Publication Type]),Synthetic Biology AND (review[Publication Type]),miRNA AND (review[Publication Type]),archaea AND (review[Publication Type]),epigenetics AND (review[Publication Type]),PCR AND (review[Publication Type]),lithium AND (review[Publication Type]),rnase AND (review[Publication Type]),autoimmune AND (review[Publication Type]),perceptron AND (review[Publication Type]),lipid AND (review[Publication Type])
1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947,0,0,0,0,0,0,1.537279016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0,0,0,1.413287731,0,0,0,0,0,0,0,0,0,0,0,0,0,2.826575462,0,0,0,0,0,0,0,0,0,0,0
1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0.795582924,0,0,0,0,0,0,0,0,0,0,0,0,0,1.591165847,0,0,0,0,0,0,0,0,0,0,0.795582924
1963,0,0,0,0,0.70651406,0,14.83679525,0,26.14102021,47.336442,0,0,2.826056239,2.826056239,37.44524516,0,0,14.13028119,7.771654656,0,0.70651406,0,7.771654656,116.5748198,0,0,0,0,0,0,0,4.239084358,17.66285149,0,98.91196835
1964,0,0,0,0,1.850595275,0,11.10357165,0,46.88174696,58.6021837,0,0,6.168650916,3.70119055,46.26488187,0,0.616865092,17.88908766,9.869841466,0,0,0,14.18789711,134.47659,0.616865092,0,0,0,0,0,1.233730183,6.168650916,45.64801678,0,133.2428598
1965,0,0,0,0,1.131624957,0,1.697437435,0,17.54018683,56.01543536,0,0,3.394874871,3.394874871,50.92312306,0,0,6.789749741,1.697437435,0,0,0,13.57949948,64.50262254,0,0,0,0,0,0,0,2.263249914,22.06668666,0,63.93681006
1966,0,0,0,0,0,0,2.219940617,0,10.54471793,58.27344119,0,0,9.434747621,3.329910925,82.13780281,0,0,9.434747621,5.549851541,0,1.109970308,0,12.76465855,76.03296612,1.109970308,0,0,0.554985154,0.554985154,0,0.554985154,2.219940617,18.31451009,0,85.46771374
1967,0,0,0,0,2.603122706,0,4.16499633,0,19.26310802,98.39803829,0,0,14.05686261,2.603122706,116.6198972,0,0,20.30435711,9.371241742,1.041249082,0,0,14.57748715,98.39803829,2.603122706,0,0,0,0,0,1.041249082,6.247494494,21.86623073,0,129.1148862
